adduser 3.118ubuntu5
postgresql 14+238
postgresql-14 14.22-0ubuntu0.22.04.1
postgresql-client-14 14.22-0ubuntu0.22.04.1
postgresql-client-common 238
postgresql-common 238
powermgmt-base 1.36
procps 2:3.3.17-6ubuntu2.1
psmisc 23.4-2build3
publicsuffix 20211207.1025-1
python-apt-common 2.4.0ubuntu4.1
python-babel-localedata 2.8.0+dfsg.1-7
python3 3.10.6-1~22.04.1
python3-apport 2.20.11-0ubuntu82.10
python3-apt 2.4.0ubuntu4.1
python3-attr 21.2.0-1
python3-automat 20.2.0-1
python3-babel 2.8.0+dfsg.1-7
python3-bcrypt 3.2.0-1build1
python3-blinker 1.4+dfsg1-0.4
python3-certifi 2020.6.20-1
python3-cffi-backend 1.15.0-1build2
python3-chardet 4.0.0-1
python3-click 8.0.3-1
python3-colorama 0.4.4-1
python3-commandnotfound 22.04.0
python3-configobj 5.0.6-5ubuntu0.1
python3-constantly 15.1.0-2
python3-cryptography 3.4.8-1ubuntu2.4
python3-dbus 1.2.18-3build1
python3-debconf 1.5.79ubuntu1
python3-debian 0.1.43ubuntu1.1
python3-debianbts 3.2.0
python3-distro 1.7.0-1
python3-distro-info 1.1ubuntu0.2
python3-distupgrade 1:22.04.20
python3-distutils 3.10.8-1~22.04
python3-gdbm 3.10.8-1~22.04
python3-gi 3.42.1-0ubuntu1
python3-hamcrest 2.0.2-2
python3-httplib2 0.20.2-2
python3-hyperlink 21.0.0-3
python3-idna 3.3-1ubuntu0.1
python3-importlib-metadata 4.6.4-1
python3-incremental 21.3.0-1
python3-jeepney 0.7.1-3
python3-jinja2 3.0.3-1ubuntu0.4
python3-json-pointer 2.0-0ubuntu1
python3-jsonpatch 1.32-2
python3-jsonschema 3.2.0-0ubuntu2
python3-jwt 2.3.0-1ubuntu0.3
python3-keyring 23.5.0-1
python3-launchpadlib 1.10.16-1
python3-lazr.restfulclient 0.14.4-1
python3-lazr.uri 1.0.6-2
python3-lib2to3 3.10.8-1~22.04
python3-magic 2:0.4.24-2
python3-markupsafe 2.0.1-2build1
python3-minimal 3.10.6-1~22.04.1
python3-more-itertools 8.10.0-2
python3-netifaces 0.11.0-1build2
python3-newt 0.52.21-5ubuntu2
python3-oauthlib 3.2.0-1ubuntu0.1
python3-openssl 21.0.0-1ubuntu0.1
python3-pexpect 4.8.0-2ubuntu1
python3-pkg-resources 59.6.0-1.2ubuntu0.22.04.3
python3-problem-report 2.20.11-0ubuntu82.10
python3-ptyprocess 0.7.0-3
python3-pyasn1 0.4.8-1ubuntu0.2
python3-pyasn1-modules 0.2.1-1
python3-pycurl 7.44.1-4build1
python3-pyparsing 2.4.7-1
python3-pyrsistent 0.18.1-1build1
python3-pysimplesoap 1.16.2-3
python3-requests 2.25.1+dfsg-2ubuntu0.3
python3-secretstorage 3.3.1-1
python3-serial 3.5-1
python3-service-identity 18.1.0-6
python3-setuptools 59.6.0-1.2ubuntu0.22.04.3
python3-six 1.16.0-3ubuntu1
python3-software-properties 0.99.22.9
python3-systemd 234-3ubuntu2
python3-twisted 22.1.0-2ubuntu2.6
python3-tz 2022.1-1ubuntu0.22.04.1
python3-update-manager 1:22.04.21
python3-urllib3 1.26.5-1~exp1ubuntu0.6
python3-wadllib 1.3.6-1
python3-xkit 0.5.0ubuntu5
python3-yaml 5.4.1-1ubuntu1
python3-zipp 1.0.0-3ubuntu0.1
python3-zope.interface 5.4.0-1build1
python3.10 3.10.12-1~22.04.15
python3.10-minimal 3.10.12-1~22.04.15
readline-common 8.1.2-1
rsync 3.2.7-0ubuntu0.22.04.4
rsyslog 8.2112.0-2ubuntu2.2
run-one 1.17-0ubuntu1
sbsigntool 0.9.4-2ubuntu2
screen 4.9.0-1ubuntu0.1
secureboot-db 1.8
sed 4.8-1ubuntu2
sensible-utils 0.0.17
sg3-utils 1.46-1ubuntu0.22.04.1
sg3-utils-udev 1.46-1ubuntu0.22.04.1
shared-mime-info 2.1-2
shim-signed 1.51.4+15.8-0ubuntu1
